stock,2024-10-23,2024-10-30,2024-11-06
ASIANPAINT,2990.0,2997.0,2897.0
AMBUJACEM,556.0,580.0,583.0
ADANIENT,2836.0,2969.0,3046.0
ADANIGREEN,1702.0,1634.0,1721.0
ADANIPORTS,1340.0,1396.0,1370.0
BRITANNIA,5749.0,5782.0,5695.0
BOSCHLTD,36256.0,36173.0,36273.0
BIRLACORPN,1137.0,1148.0,1190.0
BATAINDIA,1395.0,1364.0,1358.0
BDL,1073.0,1064.0,1081.0
CIPLA,1486.0,1418.0,1594.0
COLPAL,3331.0,3091.0,2974.0
COCHINSHIP,1401.0,1472.0,1537.0
CDSL,1480.0,1519.0,1572.0
DCON,,,
DMART,4156.0,3932.0,3922.0
EICHERMOT,4678.0,4869.0,4917.0
FINCABLES,1275.0,1197.0,1239.0
GODREJCP,1292.0,1300.0,1275.0
GLAXO,2630.0,2674.0,2630.0
GODREJPROP,2964.0,2874.0,2880.0
GRSE,1610.0,1606.0,1589.0
HAVELLS,1750.0,1662.0,1675.0
HINDUNILVR,2659.0,2555.0,2501.0
HEROMOTOCO,5146.0,4909.0,4893.0
HDFC,,,
HATSUN,1115.0,1051.0,1167.0
HONDAPOWER,3843.0,3770.0,3743.0
INDIGO,4520.0,4058.0,4062.0
ICICIBANK,1252.0,1312.0,1302.0
JKTYRE,390.0,394.0,391.0
KOTAKBANK,1768.0,1735.0,1763.0
LT,3455.0,3408.0,3645.0
LICHSGFIN,601.0,633.0,634.0
LICI,909.0,935.0,945.0
LUPIN,2075.0,2158.0,2166.0
M&M,2794.0,2708.0,2935.0
MAZDOCK,4193.0,4072.0,4279.0
MARUTI,11956.0,11256.0,11354.0
NESTLEIND,2327.0,2276.0,2276.0
PIDILITIND,3091.0,3154.0,3181.0
POLYCAB,6662.0,6394.0,6884.0
PGHL,5150.0,5056.0,5771.0
SKFINDIA,5167.0,5109.0,5146.0
SIEMENS,6872.0,6930.0,7051.0
SUNPHARMA,1839.0,1852.0,1827.0
TATAMOTORS,878.0,840.0,840.0
TATATECH,1040.0,,1034.0
TATACHEM,1125.0,1132.0,1151.0
TATACONSUM,1015.0,1023.0,1007.0
TATAINVEST,6763.0,6772.0,6755.0
TIINDIA,4635.0,4463.0,4097.0
TATAELXSI,7217.0,7101.0,7232.0
TCS,4066.0,4085.0,4140.0
ZENTEC,1773.0,1808.0,1900.0
ADANIPOWER,588.0,592.0,616.0
BAJFINANCE,6996.0,6955.0,7006.0
BAJAJHIND,35.0,34.0,35.0
BANKBARODA,238.0,251.0,263.0
BANKINDIA,99.0,107.0,114.0
BEL,269.0,289.0,302.0
BHEL,224.0,237.0,248.0
BPCL,323.0,311.0,317.0
CANBK,98.0,103.0,105.0
CHPOWER,,,
CROMPTON,396.0,394.0,402.0
COALINDIA,474.0,449.0,436.0
GMBREW,784.0,799.0,828.0
GMRINFRA,82.0,81.0,82.0
GMRPUI,,,
GOLDBEES,66.0,67.0,66.0
GREENPOWER,19.0,19.0,19.0
HDFCBANK,1736.0,1735.0,1755.0
HINDCOPPER,292.0,292.0,298.0
HINDPETRO,398.0,378.0,392.0
IOC,153.0,143.0,145.0
IPL,192.0,188.0,204.0
IRFC,139.0,156.0,154.0
IREDA,200.0,210.0,210.0
JIOFINANCE,,,
KALYANKJIL,695.0,674.0,700.0
LICHSGFIN,601.0,633.0,634.0
LICI,909.0,935.0,945.0
MMTC,77.0,79.0,81.0
NATIONALUM,224.0,227.0,245.0
NIFTYBEES,273.0,272.0,274.0
NHPC,78.0,82.0,84.0
NTPC,408.0,408.0,409.0
OLA,,,
ONGC,271.0,262.0,269.0
OSWALSEEDS,23.0,23.0,24.0
PTC,172.0,187.0,187.0
RCF,159.0,160.0,168.0
RENUKA,42.0,42.0,44.0
RVNL,442.0,465.0,470.0
SAIL,118.0,116.0,124.0
SARVESHWAR,9.0,9.0,10.0
SJVN,112.0,113.0,115.0
SUZLON,69.0,68.0,69.0
TATAMOTORS,878.0,840.0,840.0
TATAPOWER,438.0,427.0,449.0
TATASTEEL,149.0,149.0,154.0
TATATECH,1040.0,,1034.0
VBL,629.0,606.0,599.0
VIKASLIFE,4.0,5.0,5.0
YESBANK,20.0,21.0,21.0
ZOMATO,264.0,247.0,255.0
